Pressure (mmHg), Voltage 1 (mV), Voltage 2 (mV)
            766,          0.860,          1.662
            740,          0.875,          1.693
            720,          0.886,          1.712
            700,          0.896,          1.736
            680,          0.911,          1.756
            660,          0.923,          1.788
            640,          0.943,          1.815
            620,          0.955,          1.851
            600,          0.975,          1.883
            580,          0.987,          1.913
            560,          1.002,          1.930
            540,          1.015,          1.969
            520,          1.039,          1.998
            500,          1.057,          2.048
            480,          1.086,          2.092
            460,          1.107,          2.143
            440,          1.133,          2.178
            420,          1.168,          2.261
            400,          1.202,          2.316
            380,          1.226,          2.379
            360,          1.269,          2.441
            340,          1.298,          2.517
            320,          1.346,          2.588
            300,          1.389,          2.692
            280,          1.440,          2.768
            260,          1.491,          2.816
            240,          1.543,          2.928
            220,          1.665,          3.230
            200,          1.730,          3.328
            180,          1.816,          3.526
            160,          1.945,          3.750
            140,          2.064,          4.032
            120,          2.279,          4.377
            110,          2.378,
	    100,          2.521, 
             90,          2.636,
             80,          2.823,
             70,          3.027,
             60,          3.365,
             50,          3.408,
             48,          3.487,
             46,          3.544,
             44,          3.636,
             42,          3.708,
             41,          3.772,
             40,          3.827,
             39,          3.873,
             38,          3.903,
             37,          4.085,
           36.5,          4.109,
             36,          4.144,
           35.5,          4.174,
             35,          4.180,
             33,          4.301,
             32,          4.364,
             31,          4.433,
             30,          4.495,
             29,          4.578,
             28,          4.655,
             27,          4.736,
             26,          4.826,
             25,          4.915,
             24,          5.011,
             23,          5.114,
             22,          5.219,
             21,          5.331,
             20,          5.462,
             19,          5.587,
             18,          5.736,
             17,          5.874,
             16,          6.052,
             15,          6.225,
