Pressure (mmHg), Voltage 1 (mV), Voltage 2 (mV)
            766,          0.860,          1.662
            740,          0.875,          1.693
            720,          0.886,          1.712
            700,          0.896,          1.736
            680,          0.911,          1.756
            660,          0.923,          1.788
            640,          0.943,          1.815
            620,          0.955,          1.851
            600,          0.975,          1.883
            580,          0.987,          1.913
            560,          1.002,          1.930
            540,          1.015,          1.969
            520,          1.039,          1.998
            500,          1.057,          2.048
            480,          1.086,          2.092
            460,          1.107,          2.143
            440,          1.133,          2.178
            420,          1.168,          2.261
            400,          1.202,          2.316
            380,          1.226,          2.379
            360,          1.269,          2.441
            340,          1.298,          2.517
            320,          1.346,          2.588
            300,          1.389,          2.692
            280,          1.440,          2.768
            260,          1.491,          2.816
            240,          1.543,          2.928
            220,          1.665,          3.230
            200,          1.730,          3.328
            180,          1.816,          3.526
            160,          1.945,          3.750
            140,          2.064,          4.032
            120,          2.279,          4.377
            110,          2.378,          4.616
	      100,          2.521,          4.836
             90,          2.636,          5.124
             80,          2.823,          5.418
             70,          3.027,          5.963
             60,          3.365,          6.490
             50,          3.408,          6.603
             48,          3.487,          6.719
             46,          3.544,          6.878
             44,          3.636,          6.988
             42,          3.708,          7.189
             41,          3.772,          7.248
             40,          3.827,          7.406
             39,          3.873,          7.454
             38,          3.903,          7.551
             37,          4.085,          7.889
           36.5,          4.109,          7.946
             36,          4.144,          8.014
           35.5,          4.174,          8.061
             35,          4.180,          8.099
             33,          4.301,          8.292
             32,          4.364,          8.417
             31,          4.433,          8.547
             30,          4.495,          8.681
             29,          4.578,          8.838
             28,          4.655,          8.975
             27,          4.736,          9.148
             26,          4.826,          9.286
             25,          4.915,          9.482
             24,          5.011,          9.666
             23,          5.114,          9.859
             22,          5.219,         10.079
             21,          5.331,         10.281
             20,          5.462,         10.545
             19,          5.587,         10.789
             18,          5.736,         11.072
             17,          5.874,         11.330
             16,          6.052,         11.665
             15,          6.225,         12.058
             14,          6.435,         12.405
             13,          6.660,         12.834
             12,          6.884,         13.310
             11,          7.197,         13.836
             10,          7.511,         14.528
              9,          7.859,         15.179
              8,          8.279,         15.933
              7,          8.765,         16.942
              6,          9.371,         18.039
            5.6,          9.654,         18.646
            5.3,          9.931,         19.118
            5.0,         10.138,         19.585
            4.8,         10.284,         19.916
            4.6,         10.499,         20.340
